날짜,코로나
2020-10-12,10.60868
2020-10-13,9.57497
2020-10-14,10.79879
2020-10-15,9.84202
2020-10-16,9.11808
2020-10-17,6.61218
2020-10-18,6.31285
2020-10-19,7.5931
2020-10-20,6.84377
2020-10-21,7.05108
2020-10-22,8.32899
2020-10-23,9.92537
2020-10-24,7.22475
2020-10-25,5.77767
2020-10-26,8.00341
2020-10-27,7.26892
2020-10-28,7.21344
2020-10-29,7.71773
2020-10-30,6.82177
2020-10-31,6.2757
2020-11-01,9.10357
2020-11-02,8.0986
2020-11-03,6.10038
2020-11-04,6.32343
2020-11-05,6.58681
2020-11-06,6.45047
2020-11-07,5.10347
2020-11-08,5.30054
2020-11-09,6.87768
2020-11-10,6.14399
2020-11-11,6.05587
2020-11-12,6.62519
2020-11-13,10.29487
2020-11-14,10.1658
2020-11-15,10.21462
2020-11-16,13.9771
2020-11-17,12.7186
2020-11-18,20.00923
2020-11-19,21.73198
2020-11-20,20.98121
2020-11-21,18.55871
2020-11-22,18.61526
2020-11-23,18.7956
2020-11-24,16.65278
2020-11-25,19.63146
2020-11-26,39.82741
2020-11-27,30.65028
2020-11-28,21.9478
2020-11-29,23.27166
2020-11-30,26.83051
2020-12-01,18.65053
2020-12-02,17.96728
2020-12-03,18.2858
2020-12-04,26.48483
2020-12-05,19.09393
2020-12-06,20.7974
2020-12-07,21.51404
2020-12-08,18.76812
2020-12-09,19.77996
2020-12-10,20.27017
2020-12-11,22.72822
2020-12-12,37.53661
2020-12-13,37.71644
2020-12-14,38.86632
2020-12-15,29.52779
2020-12-16,30.23611
2020-12-17,28.01455
2020-12-18,23.55968
2020-12-19,20.50163
2020-12-20,21.38614
2020-12-21,23.81723
2020-12-22,20.16428
2020-12-23,18.9746
2020-12-24,15.31365
2020-12-25,17.44563
2020-12-26,18.17359
2020-12-27,19.1802
2020-12-28,17.81102
2020-12-29,16.82295
2020-12-30,14.66385
2020-12-31,13.39876
2021-01-01,11.9665
2021-01-02,13.69782
2021-01-03,12.9639
2021-01-04,15.09249
2021-01-05,14.50556
2021-01-06,13.28199
2021-01-07,12.33244
2021-01-08,12.26982
2021-01-09,11.18851
2021-01-10,10.94886
2021-01-11,14.02128
2021-01-12,13.10489
2021-01-13,12.22871
2021-01-14,12.2952
2021-01-15,11.15053
2021-01-16,10.72207
2021-01-17,8.04342
2021-01-18,10.2862
2021-01-19,10.23351
2021-01-20,9.9479
2021-01-21,9.18675
2021-01-22,9.35205
2021-01-23,8.04653
2021-01-24,8.37946
2021-01-25,10.58089
2021-01-26,9.66109
2021-01-27,10.72678
2021-01-28,9.03982
2021-01-29,8.42995
2021-01-30,7.49337
2021-01-31,9.14036
2021-02-01,7.77805
2021-02-02,7.50802
2021-02-03,7.95896
2021-02-04,7.38733
2021-02-05,6.81996
2021-02-06,6.47766
2021-02-07,5.5728
2021-02-08,7.07971
2021-02-09,7.15966
2021-02-10,6.77867
2021-02-11,6.45939
2021-02-12,6.25309
2021-02-13,7.88275
2021-02-14,6.20675
2021-02-15,7.42954
2021-02-16,7.28647
2021-02-17,11.72641
2021-02-18,11.00079
2021-02-19,8.8516
2021-02-20,6.67412
2021-02-21,5.9646
2021-02-22,7.32274
2021-02-23,6.7739
